"gene_symbol","gene_rank","gene_desc","hos_log2FC","hos_padj","os17_log2FC","os17_padj"
"SYNPO",2358,"synaptopodin",-1.781917654,1.31e-109,-0.572491348,0.002429842
"TSPAN14",2359,"tetraspanin 14",-0.85044515,1.35e-48,-0.404535325,2e-05
"DOCK1",2363,"dedicator of cytokinesis 1",-0.552024758,1.52e-37,-0.681376717,7.08e-07
"PPP3CB",2381,"protein phosphatase 3 catalytic subunit beta",-0.702464351,2.11e-35,-0.364868989,4.11e-07
"UTP20",2387,"UTP20 small subunit processome component",0.55513066,1.07e-16,0.777328675,1.01e-13
"CELSR3",2393,"cadherin EGF LAG seven-pass G-type receptor 3",0.729434978,5.1e-11,1.126193935,5.13e-20
"SNCA",2408,"synuclein alpha",-3.413212734,3.23e-68,-0.965171823,0.00037668
"CNNM3",2412,"cyclin and CBS domain divalent metal cation transport mediator 3",-0.426045184,4.45e-10,-0.86535495,1.84e-21
"WNT5A",2413,"Wnt family member 5A",-0.374405449,0.000763786,-2.604579259,8.01e-65
"DMPK",2417,"DM1 protein kinase",-0.588393702,1.44e-09,-3.052209312,2.44e-22
"PLA2G4C",2419,"phospholipase A2 group IVC",3.646628552,3.25e-49,1.230503295,4.21e-05
"APPL1",2420,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",-0.388147326,1.78e-16,-0.42536802,1.56e-13
"OSBPL2",2423,"oxysterol binding protein like 2",-0.503932135,2.27e-22,-0.691855418,5.77e-10
"LZTS2",2434,"leucine zipper tumor suppressor 2",-0.549657973,2.29e-21,-0.387671191,2.49e-10
"KCTD7",2435,"potassium channel tetramerization domain containing 7",-1.682210956,1.91e-77,-1.513560827,0.000972551
"EPRS1",2440,"glutamyl-prolyl-tRNA synthetase 1",0.202105444,1.23e-09,0.606057466,1.07e-21
"LDLRAP1",2444,"low density lipoprotein receptor adaptor protein 1",-0.500289437,1.18e-08,-0.806781897,6.43e-24
"GRAMD1A",2446,"GRAM domain containing 1A",-0.591095083,2.35e-26,-0.502739927,1.42e-08
"CASK",2449,"calcium/calmodulin dependent serine protein kinase",-0.203855236,1.77e-08,-0.652988371,1.62e-24
"TSPAN12",2453,"tetraspanin 12",-2.495007826,7.83e-17,-1.500572726,7.93e-13
"PPP3R1",2454,"protein phosphatase 3 regulatory subunit B, alpha",0.39725381,7.79e-30,0.483207124,9.81e-08
"GRN",2471,"granulin precursor",-0.804030821,4.05e-180,-0.228834275,0.019458734
"CPD",2477,"carboxypeptidase D",-0.3782582,2.01e-13,-0.514630828,1.65e-15
"PARD6G",2480,"par-6 family cell polarity regulator gamma",-1.87237059,1.64e-08,-1.093176372,2.36e-23
"PKP4",2483,"plakophilin 4",0.30778259,1.89e-21,0.460444133,6.98e-10
"ACTG1",2493,"actin gamma 1",-1.653418276,0,-0.216428219,0.038311105
"EWSR1",2498,"EWS RNA binding protein 1",0.532864781,2.97e-25,0.384320651,1.71e-08
"HYCC2",2503,"hyccin PI4KA lipid kinase complex subunit 2",1.086214919,4.66e-53,0.6050721,0.000156339
"RNF5",2507,"ring finger protein 5",-0.561576604,5.17e-22,-0.875415717,1.73e-09
"OSBPL6",2517,"oxysterol binding protein like 6",0.963808594,1.18e-36,0.389497816,4.21e-06
"SUV39H1",2521,"SUV39H1 histone lysine methyltransferase",-0.405691735,6.21e-09,-1.101441799,1.18e-21
"PLAU",2523,"plasminogen activator, urokinase",0.240317137,0.023669086,1.514071553,6.49e-126
"MGST2",2526,"microsomal glutathione S-transferase 2",-1.026954546,4.36e-20,-1.297480997,4.31e-10
"RPSA",2529,"ribosomal protein SA",-0.815295918,1.09e-05,-1.426509097,6.28e-33
"HS6ST1",2531,"heparan sulfate 6-O-sulfotransferase 1",-0.542247558,2.51e-13,-1.052200723,4.23e-15
"ARHGEF11",2533,"Rho guanine nucleotide exchange factor 11",0.374953875,3.78e-12,1.157273134,4.75e-16
"ATP6AP2",2539,"ATPase H+ transporting accessory protein 2",-0.804195949,1.13e-45,-0.260042943,6.34e-05
"TPBG",2545,"trophoblast glycoprotein",1.231630705,6.84e-115,0.343893512,0.01012276
"GPR176",2548,"G protein-coupled receptor 176",0.464289764,2.01e-16,0.60390966,4.87e-12
"ITPR3",2550,"inositol 1,4,5-trisphosphate receptor type 3",0.607380738,6.41e-17,1.428269886,1.24e-11
"METAP2",2551,"methionyl aminopeptidase 2",-0.821869134,1.79e-31,-0.40972108,1.03e-06
"BSG",2552,"basigin (Ok blood group)",-0.960198017,1.03e-98,-0.260283106,0.00698314
"DLGAP4",2556,"DLG associated protein 4",0.108578231,0.010325172,1.503258754,2.09e-80
"IGFLR1",2562,"IGF like family receptor 1",1.389927396,6.98e-11,1.88526004,5.78e-17
"LRIG2",2563,"leucine rich repeats and immunoglobulin like domains 2",0.578611045,1.54e-20,0.743021943,1.1e-09
"COA6",2569,"cytochrome c oxidase assembly factor 6",0.86931286,4.19e-30,0.744745218,6.07e-07
"AQP3",2571,"aquaporin 3 (Gill blood group)",-1.17742923,0.00056996,-2.673058367,6.61e-46
"EFR3B",2574,"EFR3 homolog B",-1.326884396,3.2e-05,-2.151607938,4.37e-34
"RHOB",2578,"ras homolog family member B",-0.571720991,1.72e-23,-0.629259485,1.83e-08
"CCNT2",2579,"cyclin T2",0.811728816,7.51e-19,1.189075468,2.76e-10
"PRKCH",2590,"protein kinase C eta",1.246636586,4.54e-08,1.357701776,6.7e-22
"RAP1B",2596,"RAP1B, member of RAS oncogene family",0.130810688,0.007056577,1.308369933,2.12e-67
"MTMR1",2598,"myotubularin related protein 1",-0.499539391,8.45e-14,-0.70921648,1.05e-13
"SLC39A11",2599,"solute carrier family 39 member 11",0.678710457,0.000280204,1.763817778,6.53e-41
"TMEM87A",2605,"transmembrane protein 87A",0.262388627,7.86e-08,0.920096497,4.38e-22
"ATP7B",2614,"ATPase copper transporting beta",-0.871470796,1.2e-17,-1.213381971,1.66e-10
"MTMR6",2616,"myotubularin related protein 6",0.551531227,2.91e-25,0.568404649,1.26e-07
"EXO1",2624,"exonuclease 1",-0.405815085,3.43e-05,-1.493480022,5.2e-32
"KREMEN1",2625,"kringle containing transmembrane protein 1",-0.404338266,1.57e-10,-0.710235973,1.45e-16
"ARHGEF1",2636,"Rho guanine nucleotide exchange factor 1",-0.573490439,6.66e-38,-0.377638308,3e-05
"ADGRE5",2637,"adhesion G protein-coupled receptor E5",0.884589004,1.28e-42,0.326401213,9.31e-05
"DAB2",2638,"DAB adaptor protein 2",0.116682623,0.040726315,1.773298102,5.69e-99
"EMP3",2648,"epithelial membrane protein 3",0.620197675,8.84e-08,1.321724861,2.01e-21
"EFNA1",2649,"ephrin A1",-0.960816248,8e-08,-1.518427614,2.72e-21
"MYO7A",2656,"myosin VIIA",-0.616598098,1.57e-05,-1.344459715,5.64e-29
"DYNLL2",2658,"dynein light chain LC8-type 2",0.449645472,9.49e-26,0.403532375,3.1e-07
"PTH1R",2662,"parathyroid hormone 1 receptor",-1.695926013,1.84e-15,-1.132178373,1.42e-11
"PRKAA1",2667,"protein kinase AMP-activated catalytic subunit alpha 1",0.541870011,1.37e-40,0.315307241,7.79e-05
"MTSS2",2669,"MTSS I-BAR domain containing 2",-0.407765411,1.66e-05,-1.728895791,1.34e-28
"ARRB1",2670,"arrestin beta 1",-1.680996469,6.04e-34,-0.348191368,1.22e-05
"RILPL1",2681,"Rab interacting lysosomal protein like 1",0.534469922,5.43e-12,0.883685647,2.91e-14
"GPR68",2685,"G protein-coupled receptor 68",0.74665356,0.027304286,3.173710911,3.09e-73
"XPR1",2689,"xenotropic and polytropic retrovirus receptor 1",0.541189206,1.11e-24,0.449889764,2.95e-07
"ANTXR2",2691,"ANTXR cell adhesion molecule 2",0.359194179,0.005835041,1.599274242,7.29e-53
"ARHGAP5",2693,"Rho GTPase activating protein 5",0.705498245,8.15e-60,0.267397551,0.001460272
"MAEA",2698,"macrophage erythroblast attacher, E3 ubiquitin ligase",-0.598985767,4.67e-33,-0.503519936,1.22e-05
"MAP2K1",2704,"mitogen-activated protein kinase kinase 1",0.270587866,2.08e-09,0.531958573,6.37e-17
"PLXNC1",2717,"plexin C1",1.333422622,1.63e-28,1.829446589,3.01e-06
"LNPEP",2737,"leucyl and cystinyl aminopeptidase",3.899654322,1.31e-26,2.15114075,1.86e-06
"CLDN12",2746,"claudin 12",0.673129343,3.48e-17,0.596988561,1.22e-09
"SUCLG2",2760,"succinate-CoA ligase GDP-forming subunit beta",-0.592900598,2.16e-17,-0.535738785,2.1e-09
"PCDHB2",2775,"protocadherin beta 2",-1.828615645,3.41e-13,-1.251725638,4.85e-12
"PIK3CA",2787,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",0.299233786,1.39e-07,0.662515233,7.49e-19
"STK39",2788,"serine/threonine kinase 39",0.305660038,2.45e-08,0.584019064,1.58e-17
"RAP2A",2790,"RAP2A, member of RAS oncogene family",-1.02469201,2.15e-50,-0.244240642,0.001071761
"GLRB",2792,"glycine receptor beta",-0.626912936,3.03e-11,-1.127960057,1.27e-13
"FNBP1L",2793,"formin binding protein 1 like",-0.960770889,2.85e-10,-0.741942224,1.4e-14
"MYADM",2796,"myeloid associated differentiation marker",-0.758970865,1.49e-26,-0.346748514,3.52e-06
"PTPRH",2824,"protein tyrosine phosphatase receptor type H",0.757649119,4.18e-06,1.598471038,1.46e-21
"PTCH1",2828,"patched 1",-1.320916268,8.08e-21,-1.119860235,1.74e-07
"RIF1",2829,"replication timing regulatory factor 1",0.857298964,4.99e-86,0.269545124,0.023069406
"ANKRD27",2838,"ankyrin repeat domain 27",0.601093452,6.13e-24,0.396187476,1.57e-06
"AP2B1",2859,"adaptor related protein complex 2 subunit beta 1",-0.662270287,1.34e-74,-0.16438697,0.014267046
"ERBIN",2865,"erbb2 interacting protein",0.118495869,0.002042272,0.964891365,3.86e-35
"PLEKHA1",2866,"pleckstrin homology domain containing A1",-0.407756458,9.52e-09,-0.932600298,9.98e-16
"ITGA3",2869,"integrin subunit alpha 3",0.584958776,2.12e-11,0.924266448,1.5e-12
"APLP1",2870,"amyloid beta precursor like protein 1",-1.445545106,3.75e-20,-0.789603961,1.66e-07
"ARL4D",2871,"ADP ribosylation factor like GTPase 4D",1.696843829,3.6e-75,0.753726801,0.015830307
"SPTBN1",2875,"spectrin beta, non-erythrocytic 1",-0.212212555,1.06e-11,-0.416746719,4.06e-12
"AKR1A1",2878,"aldo-keto reductase family 1 member A1",-0.346671241,8.22e-07,-0.833647575,5.24e-19
"HSPA8",2879,"heat shock protein family A (Hsp70) member 8",-0.692864014,3.65e-74,-0.395466873,0.01539549
"SV2A",2882,"synaptic vesicle glycoprotein 2A",-0.707987508,6.16e-69,-0.294930964,0.011993657
"PTPRK",2886,"protein tyrosine phosphatase receptor type K",0.211790256,0.002220178,1.013979533,6.94e-35
"YWHAH",2898,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta",-0.37997852,1.34e-15,-0.583223609,2.78e-09
"SYT11",2914,"synaptotagmin 11",-0.838046407,1.36e-20,-0.903626661,4.87e-07
"RAB29",2920,"RAB29, member RAS oncogene family",1.064131005,2.52e-49,0.22665023,0.003069854
"TCN2",2927,"transcobalamin 2",0.464625808,0.007921779,1.783809746,8.86e-37
"GPRIN1",2931,"G protein regulated inducer of neurite outgrowth 1",-0.586340035,1.1e-05,-2.275804267,4.61e-20
"SEMA7A",2934,"semaphorin 7A (John Milton Hagen blood group)",0.271728845,0.024086117,1.56510427,3.28e-42
"VDAC1",2935,"voltage dependent anion channel 1",-0.632841704,3.94e-58,-0.221763234,0.008531455
"RHPN2",2942,"rhophilin Rho GTPase binding protein 2",-0.699259562,6.8e-15,-0.741073541,3.79e-09
"SLC2A13",2944,"solute carrier family 2 member 13",0.296782527,0.004317946,1.680167029,2.28e-33
"ADAM12",2945,"ADAM metallopeptidase domain 12",-0.269816892,0.001917464,-1.4221615,2.81e-30
"TMEM106A",2946,"transmembrane protein 106A",1.716987236,4.83e-12,1.54605286,6.72e-11
"SLC22A23",2947,"solute carrier family 22 member 23",-1.138060117,5.51e-24,-0.881769751,9.91e-06
"SGCE",2953,"sarcoglycan epsilon",-0.621256155,6.35e-12,-0.764393114,6.88e-11
"TMEM63A",2957,"transmembrane protein 63A",0.649979836,6.62e-21,0.874888687,1.61e-06
"KCNAB2",2962,"potassium voltage-gated channel subfamily A regulatory beta subunit 2",-1.525228341,3.75e-14,-1.65631034,2.46e-09
"FLNC",2971,"filamin C",-1.763898406,1.68e-17,-1.252746405,1.28e-07
"DIP2A",2972,"disco interacting protein 2 homolog A",-0.652437797,2.74e-21,-1.037528658,2.65e-06
"MTMR9",2973,"myotubularin related protein 9",0.63675612,8.39e-16,0.704171687,2.04e-08
"PHLDA3",2983,"pleckstrin homology like domain family A member 3",0.231573094,0.001428104,0.997566329,1.76e-27
"TM4SF1",3013,"transmembrane 4 L six family member 1",-1.298024863,2.1e-42,-1.455037031,0.002505682
"SNAP47",3014,"synaptosome associated protein 47",-0.607921275,3e-11,-0.886105856,1.25e-10
"SLC19A1",3020,"solute carrier family 19 member 1",0.604447391,3.81e-10,0.692651293,1.21e-11
"BCAM",3021,"basal cell adhesion molecule (Lutheran blood group)",-1.562230063,5.64e-28,-0.851263256,0.000108599
"RAB24",3025,"RAB24, member RAS oncogene family",0.938567312,1.27e-11,1.498916445,3.07e-10
"FN1",3026,"fibronectin 1",0.515053449,7.51e-33,1.907489012,0.000383585
"M6PR",3027,"mannose-6-phosphate receptor, cation dependent",0.286518646,4.71e-13,0.43998372,2.24e-09
"KCNH1",3029,"potassium voltage-gated channel subfamily H member 1",3.097402754,1.12e-20,1.494305503,4.51e-06
"YIPF1",3033,"Yip1 domain family member 1",0.699666317,2.32e-14,0.78187706,1.25e-08
"CLTB",3035,"clathrin light chain B",0.226869906,0.000291389,1.060158206,2.04e-22
"ANXA7",3038,"annexin A7",0.977147108,8.81e-08,1.348049667,3.56e-14
"GNB5",3042,"G protein subunit beta 5",-1.0773559,1.67e-17,-1.270770127,3.91e-07
"TMEM192",3043,"transmembrane protein 192",1.17040903,2.22e-27,0.747645433,0.000111284
"TRAF6",3046,"TNF receptor associated factor 6",0.626868688,2.65e-22,0.494340407,1.58e-05
"GNG10",3049,"G protein subunit gamma 10",-0.567221484,8.63e-18,-0.374467736,6.24e-07
"HGSNAT",3072,"heparan-alpha-glucosaminide N-acetyltransferase",-1.127108066,5.75e-33,-0.369834196,0.000543981
"RTKN2",3073,"rhotekin 2",-0.293425319,0.019211929,-2.352042666,1.03e-33
"PIP4K2A",3074,"phosphatidylinositol-5-phosphate 4-kinase type 2 alpha",0.152337016,0.002174439,0.771176383,2.28e-26
"STXBP1",3076,"syntaxin binding protein 1",-0.609929044,1e-26,-0.267093334,0.000124392
"SLC9B2",3078,"solute carrier family 9 member B2",0.366711285,3.91e-06,0.984025555,2.45e-16
"LMBRD1",3081,"LMBR1 domain containing 1",-1.03869672,7.62e-22,-0.725273772,1.5e-05
"AGPAT3",3083,"1-acylglycerol-3-phosphate O-acyltransferase 3",0.496900996,1.53e-11,0.768051517,6.43e-10
"RAB40B",3084,"RAB40B, member RAS oncogene family",-2.082226558,1.14e-12,-2.55029943,3.16e-09
"PLXND1",3086,"plexin D1",-1.144048741,3.36e-66,-0.168645658,0.036737311
"CYTH2",3090,"cytohesin 2",-0.955940314,2.73e-44,-0.608922132,0.005333782
"RAB6A",3098,"RAB6A, member RAS oncogene family",0.300921659,2.85e-14,0.345260444,2.99e-08
"NCR3LG1",3112,"natural killer cell cytotoxicity receptor 3 ligand 1",1.09997254,4.57e-49,0.633123158,0.010962383
"DLC1",3118,"DLC1 Rho GTPase activating protein",0.767591689,2.39e-64,0.901021668,0.037918694
"PLEKHH2",3122,"pleckstrin homology, MyTH4 and FERM domain containing H2",-1.962025498,2.85e-23,-1.353859373,5.12e-05
"BLVRB",3124,"biliverdin reductase B",0.31970616,0.000308977,0.965634684,6.31e-21
"ARHGAP35",3125,"Rho GTPase activating protein 35",-0.129813052,1.89e-06,-0.373104729,2.97e-15
"ENO3",3127,"enolase 3",-1.071542592,0.00122625,-1.469645964,5.4e-23
"KNSTRN",3139,"kinetochore localized astrin (SPAG5) binding protein",0.294278385,1.83e-10,0.52458272,3.65e-10
"PIK3R1",3140,"phosphoinositide-3-kinase regulatory subunit 1",0.499818391,1.56e-16,0.726852312,6.92e-07
"CORO1B",3142,"coronin 1B",-0.253937472,2.87e-12,-0.576635507,5.25e-09
"IL27RA",3146,"interleukin 27 receptor subunit alpha",0.914710225,1.8e-06,1.024451102,7.58e-15
"PLS1",3154,"plastin 1",-0.245716093,0.002261858,-1.344037854,6.56e-24
"LRP12",3155,"LDL receptor related protein 12",0.698538189,5.12e-18,0.44630968,3.32e-06
"RGS12",3156,"regulator of G protein signaling 12",-0.773483858,3.43e-12,-0.897904722,7.11e-09
"CSDE1",3157,"cold shock domain containing E1",-0.434353244,1.34e-09,-0.573392414,8.97e-11
"RAB18",3159,"RAB18, member RAS oncogene family",0.39159859,8.51e-10,0.712438497,1.67e-10
"PANX1",3162,"pannexin 1",0.845309131,2.82e-29,0.342836306,0.00044895
"ARL6IP5",3170,"ADP ribosylation factor like GTPase 6 interacting protein 5",-0.693682095,2.73e-46,-0.215846918,0.011613406
"ARHGEF28",3174,"Rho guanine nucleotide exchange factor 28",0.868808407,1.04e-25,1.156607877,0.000203921
"MIB1",3194,"MIB E3 ubiquitin protein ligase 1",-0.294309057,1.62e-06,-0.751964552,3.81e-14
"PTPRD",3197,"protein tyrosine phosphatase receptor type D",-1.086278272,0.009320829,-1.147541608,2.64e-26
"FLCN",3202,"folliculin",0.53008365,2.75e-29,0.204742158,0.000596938
"ITGB8",3211,"integrin subunit beta 8",-2.320214603,9.99e-14,-2.249914242,1.07e-07
"SLC2A12",3213,"solute carrier family 2 member 12",-2.487596909,6.28e-19,-1.072646178,1.17e-05
"NAPA",3224,"NSF attachment protein alpha",0.550058443,8.63e-35,0.297285388,0.002701757
"PMEPA1",3226,"prostate transmembrane protein, androgen induced 1",-1.584636462,1.05e-59,-0.159111036,0.047308894
"GABRQ",3238,"gamma-aminobutyric acid type A receptor subunit theta",-1.524289201,1.29e-09,-2.260769411,5.33e-10
"AGTRAP",3246,"angiotensin II receptor associated protein",2.787077006,1.63e-43,0.742530257,0.0123525
"STRN",3249,"striatin",-0.401437033,7.81e-19,-0.309364366,1.83e-05
"ADA",3256,"adenosine deaminase",-0.391287588,3.94e-07,-0.736891391,1.37e-12
"C6orf89",3259,"chromosome 6 open reading frame 89",-0.708638834,2.6e-45,-0.259694194,0.016326944
"KCNS3",3260,"potassium voltage-gated channel modifier subfamily S member 3",-0.695843678,0.001797977,-1.370419962,5.17e-21
"FAF1",3262,"Fas associated factor 1",0.428291028,1.19e-15,0.469563578,1.82e-06
"TTYH3",3266,"tweety family member 3",-2.285155285,4.89e-10,-1.223431705,1.86e-09
"NIPA2",3271,"NIPA magnesium transporter 2",-0.28539248,4.21e-11,-0.53933837,9.42e-09
"PTPN2",3274,"protein tyrosine phosphatase non-receptor type 2",0.359374895,2.83e-10,0.832967142,3.08e-09
"KIAA1549",3278,"KIAA1549",-1.311723268,4.44e-27,-0.290553609,0.000617819
"GNAI2",3298,"G protein subunit alpha i2",-1.435832333,3.58e-45,-1.057560519,0.020909
"WARS2",3303,"tryptophanyl tRNA synthetase 2, mitochondrial",-0.746142967,5.85e-23,-0.396733588,0.000254727
"NEU3",3305,"neuraminidase 3",-0.574719564,1.83e-06,-1.071537989,7.21e-13
"ADD1",3308,"adducin 1",-0.798698964,3.44e-20,-0.533614118,7.4e-05
"TRAPPC4",3311,"trafficking protein particle complex subunit 4",0.23663307,1.7e-05,1.238749318,2.44e-14
"SLC12A9",3320,"solute carrier family 12 member 9",-1.190899093,3.87e-20,-0.48089649,8.14e-05
"UBE2C",3323,"ubiquitin conjugating enzyme E2 C",-0.186622893,0.003427572,-0.916722288,6.01e-21
"SDCBP2",3325,"syndecan binding protein 2",1.554339594,1.49e-07,2.096377407,3.4e-11
"RHOG",3326,"ras homolog family member G",0.415745171,7.71e-08,0.808539812,7.1e-11
"LAMP1",3328,"lysosomal associated membrane protein 1",-0.296693275,1.49e-20,-0.359825114,0.000102801
"ZNRF1",3335,"zinc and ring finger 1",-0.70332997,9.36e-18,-0.743726384,2.71e-05
"RFFL",3346,"ring finger and FYVE like domain containing E3 ubiquitin protein ligase",1.798161217,1.2e-26,0.354756767,0.001058263
"PTP4A2",3349,"protein tyrosine phosphatase 4A2",0.195084142,0.000150585,0.489076833,9.37e-16
"RELL2",3354,"RELT like 2",1.401392145,6.99e-33,1.308306781,0.004797244
"SGCB",3356,"sarcoglycan beta",-0.540655811,4.95e-17,-0.488605886,2.22e-05
"MAST1",3361,"microtubule associated serine/threonine kinase 1",-0.825917667,7.73e-09,-0.915669081,1.05e-09
"KAZN",3365,"kazrin, periplakin interacting protein",0.175724694,0.034963014,3.402583479,3.81e-25
"RNF34",3366,"ring finger protein 34",0.37249182,1.26e-11,0.523721871,1.15e-07
"FLT3LG",3377,"fms related receptor tyrosine kinase 3 ligand",0.737142735,4.06e-05,1.115164584,2.99e-14
"PHKA2",3378,"phosphorylase kinase regulatory subunit alpha 2",-0.345915025,3.59e-05,-1.042121756,4.12e-14
"ASPM",3386,"assembly factor for spindle microtubules",-0.153742064,0.015037025,-1.786381634,4.48e-22
"EXOC1",3390,"exocyst complex component 1",0.344165184,3.45e-09,0.650627515,3.28e-09
"TUB",3391,"TUB bipartite transcription factor",-1.217970201,2.32e-45,-1.106439585,0.034523939
"DDOST",3395,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit",-0.564394371,1.57e-25,-0.256031565,0.001044723
"EFS",3397,"embryonal Fyn-associated substrate",-0.658264388,9.77e-05,-0.65391581,8.74e-15
"TUBA1A",3398,"tubulin alpha 1a",-2.06800056,1.31e-21,-1.973479172,0.000291735
"NRXN2",3404,"neurexin 2",-0.954848514,4.22e-07,-1.046488316,4.77e-11
"SSPN",3407,"sarcospan",-0.468371339,4.67e-05,-1.204525687,4.86e-14
"H2BC11",3409,"H2B clustered histone 11",1.318213873,5.3e-08,2.733331818,5.7e-10
"HLTF",3410,"helicase like transcription factor",-0.674698028,7.7e-09,-1.21210957,3.02e-09
"LPP",3414,"LIM domain containing preferred translocation partner in lipoma",0.388318926,7.49e-19,0.610649655,0.000106003
"SPPL2A",3426,"signal peptide peptidase like 2A",1.428188067,8.26e-34,0.51585366,0.009374162
"LRP3",3430,"LDL receptor related protein 3",-0.934398801,2.3e-22,-0.455570195,0.000551758
"ARHGEF25",3434,"Rho guanine nucleotide exchange factor 25",-0.548483863,7.29e-08,-0.831815511,8.77e-10
"RHOF",3438,"ras homolog family member F, filopodia associated",-1.319246542,2.11e-43,-0.78525623,0.037444745
"SLC40A1",3439,"solute carrier family 40 member 1",-1.848704812,2.03e-19,-1.366555406,0.000157822
"RAB9A",3445,"RAB9A, member RAS oncogene family",0.438789584,3.13e-07,0.555641077,2.71e-10
"NTN4",3451,"netrin 4",-0.458519898,5.64e-14,-0.657130568,5.15e-06
"LRIG1",3460,"leucine rich repeats and immunoglobulin like domains 1",-0.439382077,3.78e-10,-0.528666394,7.56e-08
"ZC4H2",3467,"zinc finger C4H2-type containing",-0.67942566,0.00132641,-0.781900865,2.59e-16
"CAPRIN2",3479,"caprin family member 2",0.740425129,4.52e-20,1.237453722,0.000327511
"GNA13",3497,"G protein subunit alpha 13",0.548027723,1.42e-42,0.164700853,0.047998595
"KLF9",3502,"KLF transcription factor 9",-0.575568658,1.59e-32,-0.23652907,0.012224794
"ARVCF",3503,"ARVCF delta catenin family member",-0.961103166,1.14e-14,-1.279979627,2.21e-05
"ERC1",3505,"ELKS/RAB6-interacting/CAST family member 1",0.21691282,1.99e-09,0.438269099,5.88e-08
"LAPTM4B",3509,"lysosomal protein transmembrane 4 beta",-0.473747818,1.42e-34,-0.238540989,0.019071639
"MFAP3L",3529,"microfibril associated protein 3 like",0.916983742,8.25e-10,1.074431948,1.61e-07
"AGPAT2",3530,"1-acylglycerol-3-phosphate O-acyltransferase 2",-0.127573079,0.035754076,-0.943497119,1.1e-20
"IDE",3535,"insulin degrading enzyme",0.784912979,3.64e-16,1.07844445,8.65e-05
"BBS9",3545,"Bardet-Biedl syndrome 9",-1.443734101,8.02e-14,-1.276858397,2.02e-05
"STAMBP",3550,"STAM binding protein",0.308962508,7.1e-05,0.594677974,2.67e-12
"JAG2",3553,"jagged canonical Notch ligand 2",-1.279497793,6.15e-09,-1.870735694,5.87e-08
"PPP1R16A",3560,"protein phosphatase 1 regulatory subunit 16A",-0.385687519,0.000574602,-1.168964006,4.36e-14
"CLNS1A",3564,"chloride nucleotide-sensitive channel 1A",-0.492842354,1.28e-14,-0.285422352,4.01e-05
"TAB3",3566,"TGF-beta activated kinase 1 (MAP3K7) binding protein 3",0.385470097,5.46e-07,0.512129014,2.29e-09
"OCLN",3571,"occludin",0.563589621,1.32e-14,0.866635754,4.09e-05
"MPP1",3581,"MAGUK p55 scaffold protein 1",-1.016387867,5.98e-11,-0.98131326,1.55e-06
"APBA1",3584,"amyloid beta precursor protein binding family A member 1",-1.335703021,2.67e-09,-1.087260484,1.51e-07
"EPN2",3588,"epsin 2",0.142084763,0.003936453,0.645416136,5.04e-16
"SEPTIN2",3589,"septin 2",-0.60635417,1.8e-34,-0.128638912,0.026925569
"ITCH",3592,"itchy E3 ubiquitin protein ligase",0.255165477,2.38e-07,0.366313001,5.93e-09
"GDE1",3602,"glycerophosphodiester phosphodiesterase 1",-0.378930907,7.13e-14,-0.403518221,3.51e-05
"TPRA1",3605,"transmembrane protein adipocyte associated 1",0.704258994,3.03e-20,0.512811353,0.000945694
"MAGEE1",3606,"MAGE family member E1",-1.342094042,2.88e-08,-2.170334677,4.41e-08
"PFKM",3607,"phosphofructokinase, muscle",-0.469359553,2.35e-22,-0.391650316,0.002407414
"FMNL3",3621,"formin like 3",0.457338088,8.31e-07,0.546683981,3.36e-09
"TNFRSF1A",3624,"TNF receptor superfamily member 1A",0.134676322,0.000976497,0.654118794,8.58e-14
"CLMP",3625,"CXADR like membrane protein",0.368562381,3.66e-18,0.512608637,0.000491913
"PDE4A",3630,"phosphodiesterase 4A",-0.750411391,9.7e-18,-0.986714741,0.000400288
"JOSD1",3634,"Josephin domain containing 1",0.312286615,1.48e-08,0.389193615,1.11e-07
"ARHGAP19",3637,"Rho GTPase activating protein 19",-0.172800469,0.009603579,-1.503775782,2.55e-16
"TGFBR3",3638,"transforming growth factor beta receptor 3",-1.281675604,4.17e-34,-0.392054075,0.034288651
"ADGRL1",3662,"adhesion G protein-coupled receptor L1",0.949884211,1.87e-22,0.614704479,0.003814448
"EPS8",3663,"epidermal growth factor receptor pathway substrate 8",-0.145457796,0.018284497,-0.892606782,9.19e-17
"ARF6",3671,"ADP ribosylation factor 6",0.236903049,1.3e-15,0.3267908,0.000201253
"CACNG6",3672,"calcium voltage-gated channel auxiliary subunit gamma 6",-1.112862495,2.7e-17,-1.435805027,0.000492252
"DCXR",3683,"dicarbonyl and L-xylulose reductase",-0.288029668,0.00397003,-1.195925395,1.65e-14
"NINJ1",3689,"ninjurin 1",0.365095884,0.002007938,0.986610933,1.02e-13
"CACNA2D1",3692,"calcium voltage-gated channel auxiliary subunit alpha2delta 1",0.525997301,5.61e-12,0.427717497,2.48e-05
"SCHIP1",3697,"schwannomin interacting protein 1",-2.03340656,3.59e-10,-2.381407183,3.87e-06
"VAPA",3701,"VAMP associated protein A",0.351878163,1.54e-21,0.236912272,0.00375375
"PRICKLE3",3704,"prickle planar cell polarity protein 3",0.355723054,7.28e-05,0.699978875,1.41e-10
